iter	Passed	Remaining
0	1	137
1	2	100
2	2	88
3	3	79
4	4	76
5	4	73
6	5	71
7	6	69
8	6	68
9	7	66
10	8	65
11	8	63
12	9	61
13	9	60
14	10	58
15	10	57
16	11	57
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	43
36	25	42
37	25	42
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	6
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
